product_name,expert_partner_name,expert_role,proficiency_level,hire_type,expert_count,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,New Hire,50,205,297,231,279,1824.02,2212.52,0,0,89083.13334,4139,0,0,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Re-Hire,5,23,38,29,38,274.54,312.27,0,0,16133.78334,655,0,0,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,New Hire,163,1410,2176,1771,2070,14362.8,17102.66,0,0,748866.8167,33519,0,0,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Re-Hire,12,128,190,152,178,1078.06,1293,0,0,60189.23335,2666,0,0,0,0,0,0,0,0
TTL Full Service Consumer,EDUCATION AT WORK,Tax Specialist,PL1,New Hire,43,63,89,0,0,475.14,547.26,163,429,36131.73333,1116,745.808202,330,453.44517,221,210.87216,81,73.277853,26
TTL Full Service Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Re-Hire,5,19,20,0,0,97.87,106.83,22,58,6411.050003,184,215.20495,139,136.465331,98,39.974814,28,38.764805,13
TTL Full Service Consumer,EDUCATION AT WORK,Tax Specialist,PL2,New Hire,163,359,428,1,1,3118.31,3523.68,1040,2332,205895.5166,6760,6151.497362,2685,2548.370692,1347,2577.273592,1024,953.980365,295
TTL Full Service Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Re-Hire,12,36,41,0,0,237.21,269.4,97,225,16451.85,547,613.445107,333,306.442476,199,241.039887,106,64.729103,27
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,OTHER,Re-Hire,1,0,1,1,1,2.36,2.58,0,0,83.866667,3,0,0,0,0,0,0,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,OTHER,New Hire,2,0,0,0,0,3.14,4.41,0,0,18.966666,8,0,0,0,0,0,0,0,0
