product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,hire_type,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator
TTL Assisted Consumer,10000002904,GPRIMICH,INTUIT,Tax Expert,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,New Hire,4,4,1,1,40.58,46.85,4,10,1073.200001,109,21.642207,6,7.155326,3,0,0,14.486881,3
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,Re-Hire,0,1,1,1,16.76,18.85,0,0,1050.9,27,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,Re-Hire,0,0,0,0,24.53,27.18,12,16,674.049998,64,80.263384,23,14.962338,6,16.511351,6,48.789695,11
TTL Assisted Consumer,10000115962,HRECIO,INTUIT,Tax Expert,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,New Hire,1,3,2,3,36.15,40.88,0,0,1744.916664,52,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,New Hire,0,2,0,1,62.98,70.35,9,17,2277.650007,126,33.672634,13,26.797345,10,5.821227,2,1.054062,1
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,Re-Hire,6,8,7,8,32.62,41.1,0,0,3977.416669,185,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,Re-Hire,6,10,2,2,152.8,179.03,53,109,8003.800015,443,475.754226,102,36.323432,20,131.608693,32,304.952544,49
TTL Assisted Consumer,10000137397,BYANG1,INTUIT,Tax Expert,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,New Hire,5,11,9,10,83.5,96.89,0,0,3111.583334,113,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,New Hire,2,2,0,1,61.68,69.16,9,30,3087.866668,111,63.170641,21,20.030494,10,36.183376,8,6.956771,3
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,Re-Hire,3,5,5,5,36.84,42.26,0,0,3198.650001,131,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,Re-Hire,3,4,1,1,80.83,87.88,31,47,3896.383329,204,283.517384,45,98.736352,23,59.323551,13,98.436566,8
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,Re-Hire,1,1,0,1,12.36,13.05,0,0,936.8,28,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,Re-Hire,1,3,1,3,38.63,43.12,9,19,1932.516664,89,50.243766,12,17.502558,6,7.899516,2,24.841692,4
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,Re-Hire,5,6,5,6,25.87,30.34,0,0,2057.416671,98,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,Re-Hire,1,1,1,1,44.43,50.34,24,38,2403.316669,127,284.47967,48,42.929955,11,56.959333,11,184.590382,26
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,Re-Hire,16,19,18,19,66.8,76.43,0,0,6070.6,345,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,Re-Hire,9,15,3,4,254.94,280.52,126,184,8100.95,693,541.991124,222,53.180498,51,91.889837,57,394.828114,113
TTL Assisted Consumer,10000144768,TLEE,INTUIT,Tax Expert,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,New Hire,0,0,0,0,4.2,4.98,0,1,2036.116667,12,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,New Hire,0,0,0,0,21.51,27.94,0,0,628.600001,34,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,New Hire,-2,2,0,2,47.88,62.31,6,12,1564.883337,114,41.543373,7,27.864699,3,8.950156,3,4.728518,1
