expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	USA | Arizona	NaN	Business	Onsite	1	36.783333	5	7.356667	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Remote Kentucky	NaN	Business	Virtual	1	783.616666	30	26.120556	2	5
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Senior	Non-Business	Virtual	1	3873.183331	378	10.246517	-1	17
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Junior	Business	Onsite	1	6830.383333	540	12.648858	25	51
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Brigham Young University	Sophomore	Non-Business	Onsite	1	4119.833332	217	18.985407	15	25
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Freshman	Business	Onsite	3	28427.18333	1535	18.519338	107	174
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Grand Canyon University	Freshman	Business	Onsite	1	31.616667	3	10.538889	-1	1
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 5	Marshall	Sophomore	Non-Business	Virtual	1	1272.766667	66	19.284343	4	4
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 7	USA | Arizona	NaN	Business	Onsite	2	1351.683333	61	22.158743	5	5
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 5	null	null	null	null	10	7269.483339	504	14.423578	8	29
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Remote Arizona	NaN	Business	Virtual	2	8675.45	499	17.385671	14	33
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 6	null	null	null	null	8	6464.533336	337	19.182592	3	27
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Freshman	Business	Onsite	2	2997.716669	147	20.39263	5	13
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Freshman	Business	Virtual	4	15975.78334	683	23.390605	34	70
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	USA | Texas	NaN	Business	Onsite	8	17240.71667	841	20.500258	30	57
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University of Utah	Senior	Business	Onsite	2	10333.76667	579	17.847611	22	41
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 7	Marshall	Sophomore	Non-Business	Virtual	1	2201.516666	100	22.015167	2	6
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Remote Texas	NaN	Business	Virtual	4	19601.2	895	21.900782	22	73
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Sophomore	Non-Business	Onsite	2	21098.71667	1211	17.422557	44	90
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Non-Business	Onsite	1	17.433333	3	5.811111	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Senior	Non-Business	Onsite	3	50429.25001	2438	20.68468	121	200
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 7	null	null	null	null	9	3832.783333	201	19.068574	-1	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	Arizona State University	Sophomore	Business	Onsite	1	3991.433334	184	21.692572	14	27
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Sophomore	Business	Onsite	1	7098.983333	328	21.643242	19	36
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Junior	Non-Business	Virtual	3	13826.51667	730	18.940434	32	65
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	null	null	null	null	1	2559.316667	90	28.436852	5	7
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Cincinnati	Junior	Business	Virtual	1	3747.949999	155	24.180323	6	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	University of Utah	Graduated	Business	Onsite	1	5457.55	322	16.948913	8	17
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Texas - El Paso	Senior	Non-Business	Onsite	1	154.4	8	19.3	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	El Paso Community College	Sophomore	Non-Business	NaN	1	939.866668	108	8.702469	1	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Junior	Business	NaN	1	72.1	7	10.3	2	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Arizona State University	Freshman	Business	NaN	1	460.483332	48	9.593403	-1	7
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Senior	Non-Business	Virtual	1	3677.299999	240	15.322083	6	15
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University of Utah	Sophomore	Business	Onsite	1	4229.599999	306	13.822222	9	27
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Business	Virtual	1	2713.199999	97	27.971134	10	12
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Senior	Business	Onsite	1	11179.96667	778	14.370137	24	66
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Freshman	Non-Business	Onsite	6	68266.08334	3794	17.993169	172	341
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Senior	Non-Business	Virtual	2	9239.916668	381	24.25175	30	45
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	Virtual	2	15037.81667	897	16.764567	30	50
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Graduate	Non-Business	Virtual	3	14488.08333	724	20.011165	36	73
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Junior	Business	Onsite	1	4739.133335	225	21.062815	22	31
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	Sophomore	Non-Business	Virtual	1	6488.700002	410	15.826098	12	19
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Junior	Non-Business	Virtual	1	6050.45	440	13.751023	-2	25
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Utah Valley University	Freshman	Non-Business	Onsite	2	914.949999	91	10.054396	2	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Texas - Arlington	Freshman	Business	Virtual	1	3990.949999	168	23.755655	5	13
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University of Cincinnati	Sophomore	Non-Business	NaN	1	17.933333	1	17.933333	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	USA | Texas	NaN	Business	Onsite	7	30007.91667	1626	18.455053	78	123
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Freshman	Non-Business	Onsite	1	1855.883333	87	21.331992	7	13
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Freshman	Business	Onsite	2	19025.13333	1092	17.422283	70	144
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Senior	Business	Virtual	1	997.85	66	15.118939	0	4
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Freshman	Business	Onsite	1	4158.9	128	32.491406	13	21
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	USA | Arizona	NaN	Business	Onsite	3	3775.316668	225	16.779185	0	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University of Utah	Sophomore	Non-Business	Onsite	2	19453.55001	855	22.75269	50	85
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	Virtual	1	4616.333332	406	11.370279	10	20
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Sophomore	Non-Business	Virtual	1	1573.7	129	12.199225	-2	4
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University of Utah	Sophomore	Non-Business	Onsite	1	6144.050001	410	14.985488	19	32
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Freshman	Non-Business	NaN	3	5232.649998	358	14.616341	14	28
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Freshman	Non-Business	Onsite	7	54728.5	2836	19.297779	79	219
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	El Paso Community College	Graduate	Business	Onsite	1	40.483333	4	10.120833	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	EAW-UofU	NaN	Business	Onsite	4	7556.716668	521	14.504255	18	21
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	Marshall	Sophomore	Non-Business	Virtual	2	4418.649998	197	22.429695	6	14
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Business	NaN	1	3783.516665	187	20.232709	1	5
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Freshman	Non-Business	Virtual	1	8960.750004	403	22.235112	31	50
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Business	Onsite	1	3148.499999	111	28.364865	19	30
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Senior	Non-Business	NaN	2	1236.649999	78	15.854487	-1	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	1	6069.683335	644	9.424974	15	39
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Non-Business	Virtual	1	1535.849998	131	11.724046	-2	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Junior	Non-Business	NaN	2	137.733334	12	11.477778	null	null
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Northern Kentucky University	Sophomore	Business	NaN	1	648.733334	46	14.102899	-1	1
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Senior	Non-Business	Virtual	2	5495.850003	299	18.380769	10	20
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	null	null	null	null	1	4267.633335	248	17.208199	15	19
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Senior	Non-Business	Virtual	2	19925.13334	1635	12.186626	36	136
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	USA | Arizona	NaN	Business	Onsite	2	6998.399998	446	15.69148	16	38
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	null	null	null	null	2	9218.349998	484	19.046178	16	35
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	NaN	Non-Business	Virtual	1	10881.61667	566	19.225471	21	45
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Xavier University	Junior	Business	Virtual	1	3064.883333	95	32.26193	5	7
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Junior	Non-Business	Virtual	2	2550.299999	142	17.959859	6	17
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	University of Texas - El Paso	Junior	Business	Onsite	1	2433.816666	121	20.114187	4	6
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Freshman	Non-Business	Virtual	1	7149.799998	412	17.353883	12	33
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	El Paso Community College	Senior	Non-Business	Virtual	1	9160.666669	383	23.91819	21	32
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Senior	Business	Virtual	1	11572.91667	536	21.591262	53	64
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Other	Freshman	Business	Virtual	2	6084.083333	296	20.554336	11	25
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Arizona State University	Graduate	Non-Business	Onsite	1	7271.849999	460	15.80837	51	64
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Junior	Business	Onsite	3	27053.78334	1548	17.476604	63	116
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	Marshall	Sophomore	Business	Virtual	2	7629.099998	359	21.250975	26	30
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Junior	Business	Virtual	1	12645.21667	705	17.936478	30	65
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Senior	Business	Virtual	1	10576.41666	541	19.549754	9	39
