expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom	ps_tnps	exec_ps_aht_num	exec_ps_aht_denom
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Freshman	Business	Onsite	2	19025.13333	1092	17.422283	70	144	48.6111	14321.98333	858
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Utah Valley University	Senior	Non-Business	NaN	1	500.05	38	13.159211	-5	6	-83.3333	500.05	38
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Freshman	Non-Business	Onsite	6	68266.08334	3794	17.993169	172	341	50.4399	53225.7	3298
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Sophomore	Non-Business	Onsite	1	8006.566664	442	18.114404	42	59	71.1864	5069.116667	298
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Senior	Non-Business	Virtual	2	9239.916668	381	24.25175	30	45	66.6667	9020.816667	424
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	University Of Texas - El Paso	Sophomore	Non-Business	NaN	1	2020.333333	112	18.03869	2	10	20	2147.7	116
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Texas - El Paso	Junior	Non-Business	NaN	2	698.866667	38	18.391228	-1	4	-25	698.866667	38
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Arizona	Junior	Non-Business	Virtual	1	6332.266665	348	18.196169	8	19	42.1053	3569.85	183
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Senior	Business	Virtual	1	997.85	66	15.118939	0	4	0	1095.166667	73
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 7	Marshall	Freshman	Non-Business	Virtual	1	1534.416667	58	26.45546	2	6	33.3333	1091.516667	44
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	Arizona State University	Sophomore	Business	Onsite	1	3991.433334	184	21.692572	14	27	51.8519	2366.266667	123
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	Freshman	Non-Business	Virtual	1	4664.183336	261	17.870434	14	33	42.4242	3733.3	221
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Business	NaN	1	3783.516665	187	20.232709	1	5	20	4375.433333	261
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Cincinnati	Junior	Non-Business	Virtual	2	6666.966669	337	19.783284	20	30	66.6667	5318.183333	272
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Junior	Business	Onsite	1	730.65	51	14.326471	1	10	10	731.1	52
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University of Cincinnati	Junior	Non-Business	Virtual	1	11567.01667	455	25.422015	20	46	43.4783	9299.266667	383
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	USA | Texas	NaN	Business	Onsite	2	3467.466666	322	10.76853	-5	24	-20.8333	3643.983333	336
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Freshman	Business	Onsite	1	4158.9	128	32.491406	13	21	61.9048	3439.166667	146
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 6	University of North Texas	Freshman	Business	Virtual	1	2659.999999	139	19.136691	3	15	20	1902.55	106
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Freshman	Non-Business	Virtual	1	8960.750004	403	22.235112	31	50	62	8800.4	452
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of North Texas	Freshman	Business	Virtual	1	4309.683335	312	13.813088	9	24	37.5	2666.016667	202
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Business	Onsite	1	3148.499999	111	28.364865	19	30	63.3333	2921.216667	130
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Freshman	Business	Onsite	1	7852.116667	286	27.454953	24	35	68.5714	5404.116667	237
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Freshman	Non-Business	Onsite	2	20570.95	1091	18.855133	64	96	66.6667	12917.43333	727
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Arizona State University	Senior	Business	Onsite	1	14317.48334	927	15.444966	34	74	45.9459	7791.7	516
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Sophomore	Non-Business	Virtual	2	13871.36667	595	23.313221	13	52	25	11288.58333	519
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Junior	Business	Virtual	1	10444.51667	534	19.55902	23	43	53.4884	8971.466667	475
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	?	Non-Business	Virtual	1	4436.066667	278	15.957074	12	29	41.3793	3607.633333	196
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	Marshall	Senior	Non-Business	Virtual	3	11169.9	548	20.383029	12	36	33.3333	8134.450001	486
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Arizona	Sophomore	Non-Business	Virtual	1	4244.333334	160	26.527083	14	23	60.8696	4347.333333	181
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Senior	Non-Business	NaN	2	1236.649999	78	15.854487	-1	2	-50	1287.15	82
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	USA | Arizona	NaN	Business	Onsite	1	36.783333	5	7.356667	null	null	null	36.783333	5
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Sophomore	Business	NaN	1	585.516665	49	11.94932	-1	3	-33.3333	726.033333	55
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Remote Kentucky	NaN	Business	Virtual	1	783.616666	30	26.120556	2	5	40	785.1	31
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 6	Marshall	Senior	Business	Virtual	1	738.366667	74	9.977928	-1	6	-16.6667	738.366667	74
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 7	Marshall	Sophomore	Business	Virtual	2	254.016667	17	14.942157	1	1	100	282.583334	18
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Senior	Non-Business	Virtual	1	3873.183331	378	10.246517	-1	17	-5.8824	3546.866667	333
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	1	6069.683335	644	9.424974	15	39	38.4615	4023.5	588
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Utah	Freshman	Business	Onsite	1	8760.616669	600	14.601028	26	53	49.0566	6209.533333	441
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Arizona	Senior	Non-Business	NaN	1	646.7	53	12.201887	3	3	100	646.7	53
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Sophomore	Business	Virtual	1	5582.683336	282	19.796749	19	40	47.5	2857.15	157
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Texas - El Paso	Senior	Non-Business	Virtual	1	1535.849998	131	11.724046	-2	10	-20	1599.6	123
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Sophomore	Business	Onsite	1	7098.983333	328	21.643242	19	36	52.7778	5538.516667	244
