expert_type	hire_type	role_type	partner_name	training_wave	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom	ps_tnps
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 7	931	1935987.267	102282	18.927937	1406	4516	31.1337
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 5	213	885670.5	38642	22.919893	1187	2688	44.1592
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 4	157	575935.35	34176	16.852041	1071	2372	45.1518
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Wave 2	42	142855.4667	8304	17.203211	264	591	44.6701
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 2	318	1613397.833	77664	20.774076	2254	6278	35.9032
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Wave 5	171	647140.5167	33736	19.182491	1124	2899	38.772
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 3	27	95689.11666	5565	17.19481	230	461	49.8915
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 1	38	164354.1	9951	16.51634	160	547	29.2505
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 6	144	656260.7667	34239	19.167054	872	2235	39.0157
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 5	254	1046103.767	53243	19.647724	1632	4078	40.0196
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Wave 6	211	1060288.95	53539	19.804048	2567	4880	52.6025
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 7	566	797408.6833	33755	23.623424	674	1568	42.9847
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Wave 4	88	260554.9667	13552	19.226311	303	1074	28.2123
NonPathEDU	New Hire	PS	LIVEOPS	Wave 7	544	1445582.65	60492	23.897088	1148	2919	39.3285
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 2	202	905440.85	51982	17.418353	1178	3485	33.802
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 7	1638	2002533.45	109509	18.286474	1907	5012	38.0487
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 4	197	863658.4667	46116	18.727957	1425	3330	42.7928
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 3	135	577408.9833	30147	19.153116	742	2347	31.6148
NonPathEDU	New Hire	PS	LIVEOPS	Wave 3	243	2071340.25	90072	22.996494	3270	7412	44.1176
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 1	203	1235120.117	60365	20.460865	1942	4729	41.0658
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Other	40	609861.2667	29350	20.778919	2104	2906	72.4019
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 5	222	591369.4	37388	15.817091	840	2294	36.6173
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 2	39	142327.1833	8723	16.316311	240	520	46.1538
NonPathEDU	New Hire	PS	TELEPERFORMANCE	Wave 7	1052	2166638.783	122261	17.721422	2042	5793	35.2494
NonPathEDU	New Hire	PS	CONCENTRIX	Wave 3	29	150999.1167	7615	19.829168	336	661	50.8321
NonPathEDU	New Hire	PS	CONCENTRIX	Other	4	10243.68334	673	15.220926	20	37	54.0541
NonPathEDU	New Hire	PS	FOUNDEVER	Other	15	78077.66667	4753	16.427029	213	329	64.7416
NonPathEDU	New Hire	PS	LIVEOPS	Other	8	331467.4833	17302	19.157755	1326	1732	76.5589
NonPathEDU	New Hire	PS	FOUNDEVER	Wave 1	5	3820.816666	175	21.833238	7	11	63.6364
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Wave 4	1	5721.800002	233	24.557082	6	21	28.5714
NonPathEDU	New Hire	PS	WORKING SOLUTIONS	Other	3	74182.13334	5764	12.869905	288	398	72.3618
NonPathEDU	Re-Hire	PS	LIVEOPS	Re-Hire	683	5348749.417	246473	21.701158	10872	19454	55.8857
NonPathEDU	Re-Hire	PS	WORKING SOLUTIONS	Re-Hire	969	5792529.85	302325	19.159943	9551	21396	44.6392
NonPathEDU	Re-Hire	PS	TELEPERFORMANCE	Re-Hire	590	2589676.35	148755	17.409004	4293	8414	51.0221
NonPathEDU	Re-Hire	PS	FOUNDEVER	Re-Hire	214	630437.8833	36910	17.080409	1083	2143	50.5366
NonPathEDU	Re-Hire	PS	CONCENTRIX	Re-Hire	304	1460898.983	79914	18.280889	2849	5102	55.8408
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 5	64	262800.0833	14807	17.748368	636	1383	45.987
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 1	75	511296.7334	29051	17.59997	1232	2478	49.7175
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 6	55	184683.6167	10888	16.962125	481	835	57.6048
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 2	49	233809.6167	13848	16.883999	483	1108	43.5921
PathEDU	New Hire	PS	FOUNDEVER	Wave 6	16	43474.75	2409	18.046804	88	212	41.5094
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 4	44	219683.2667	11984	18.331381	402	1018	39.4892
PathEDU	New Hire	PS	FOUNDEVER	Wave 7	22	44754.1	2114	21.170341	76	155	49.0323
PathEDU	New Hire	PS	EDUCATION AT WORK	Wave 7	16	34102.41667	1665	20.481932	66	123	53.6585
PathEDU	New Hire	PS	FOUNDEVER	Wave 5	20	50592.76667	2685	18.842744	128	246	52.0325
PathEDU	Re-Hire	PS	EDUCATION AT WORK	Re-Hire	75	452595.95	26673	16.968318	1067	2170	49.1705
PathEDU	Re-Hire	PS	FOUNDEVER	Re-Hire	4	16382.41667	1041	15.737192	59	93	63.4409
