expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	fs_cst_num	fs_eng	fs_eng_cst	exec_fs_tnps_num	exec_fs_tnps_denom	ttla_handle_min	ttla_handle_cnt	exec_ttla_tnps_num	exec_ttla_tnps_denom	conv_num	conv_denom	conv_rate
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Utah Valley University	Junior	Business	Onsite	2	22.372837	6	3.728806	1	1	1219.516666	64	5	5	288	336	0.8571428571
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Senior	Business	Onsite	8	448.392804	170	2.637605	23	25	37375.06667	1483	60	82	17399	26734	0.6508191816
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Utah	NaN	Non-Business	Onsite	2	37.940646	11	3.44915	1	1	9188.966667	290	16	21	946	1634	0.5789473684
PathEDU	New Hire	TS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 7	Marshall	Freshman	Non-Business	Virtual	1	17.132955	8	2.141619	1	1	0	0	0	0	432	918	0.4705882353
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 3	University of Utah	Junior	Business	Onsite	3	53.467547	33	1.620229	1	1	10658.41667	498	28	37	3605	5768	0.625
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Junior	Business	Onsite	8	543.118025	207	2.623759	16	19	46453.35	2215	40	117	21040	35493	0.5927929451
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University Of Arizona	Junior	Business	NaN	2	2.671758	2	1.335879	0	0	735.966667	26	4	4	62	124	0.5
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Junior	Business	Onsite	2	107.311159	32	3.353474	5	5	10259.11667	366	12	18	2805	4250	0.66
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 3	El Paso Community College	NaN	Non-Business	Onsite	4	335.224202	206	1.627302	19	21	39726.15	1771	83	117	21885	30896	0.7083441222
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Sophomore	Business	Onsite	6	272.863797	123	2.218405	22	29	34971.83333	1595	83	119	12446	21168	0.587962963
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 3	University Of Texas - El Paso	Sophomore	Business	Onsite	2	113.458722	55	2.062886	9	9	11041.81667	419	12	25	6013	8706	0.690673099
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Salt Lake Community College	Sophomore	Business	Onsite	1	60.922763	22	2.769217	5	5	6558	232	13	17	1806	2666	0.6774193548
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University of Utah	NaN	Non-Business	Onsite	4	131.011326	47	2.787475	7	9	17340.36667	874	39	56	5005	8939	0.5599060298
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	2	92.795782	37	2.507994	8	8	7017.883333	282	22	26	3528	5292	0.6666666667
PathEDU	New Hire	TS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 6	Marshall	Junior	Business	Virtual	2	21.601521	20	1.080076	10	11	0	0	0	0	1430	2255	0.6341463415
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Northern Kentucky University	Graduate	Business	NaN	1	null	null	null	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Junior	Business	Onsite	16	640.332778	315	2.032802	71	94	75994.26667	3450	166	247	32152	57740	0.5568410114
PathEDU	New Hire	TS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Junior	Non-Business	Virtual	1	48.658451	34	1.431131	8	15	7.716667	1	0	0	2450	6300	0.3888888889
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Texas - El Paso	Junior	Business	NaN	1	null	null	null	null	null	null	null	null	null	null	null	null
