expert_type	hire_type	role_type	partner_name	agent_status_adj	training_wave	university	expert_cnt	fs_cst_num	fs_eng	fs_eng_cst	fs_tnps_num	fs_tnps_denom	fs_tnps	ttla_handle_min	ttla_handle_cnt	ttla_aht	ttla_tnps_num	ttla_tnps_denom	ttla_tnps	conv_num	conv_denom	conv_rate	basic_cst	basic_eng	deluxe_cst	deluxe_eng	premium_cst	premium_eng	other_cst	other_eng
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 5	University Of Texas - El Paso	16	554.208607	222.00	2.496435	16.00	19	84.2105	60251.95	2097	28.732451	118	207	57.0048	20542	34599	59.37%	220.11	98	231.77	90	97.10	32	5.23	2
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 5	University Of Texas - El Paso	12	28.980981	13.00	2.229306	0.00	1	0	2314.23	94	24.619504	7	11	63.6364	1026	1760	58.30%	20.52	7	8.46	6	0.00	0	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 3	Salt Lake Community College	1	37.032606	11.00	3.366601	null	null	null	6508.43	238	27.346359	10	18	55.5556	2266	3914	57.89%	15.80	4	19.66	6	1.56	1	0.00	0
PathEDU	New Hire	TS	FOUNDEVER	TermBeforePeak	Wave 7	null	5	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 4	Utah Valley University	1	6.293323	3.00	2.10	null	null	null	65.87	3.00	21.96	null	null	null	102	204	50.00%	4.70	2	1.60	1	0.00	0	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 4	El Paso Community College	2	104.139396	37.00	2.81	2	2.00	100.00	8118.42	283.00	28.69	9	17	52.9412	3724	5684	65.52%	31.25	13	42.53	17	30.36	7	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 5	University of Utah	5	89.7412	44.00	2.04	2.00	2.00	100.00	14570.75	445.00	32.74	52	67	77.6119	4091	6734	60.75%	27.37	16	43.42	21	18.16	6	0.79	1
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 3	El Paso Community College	5	400.670725	232.00	1.73	42	50.00	84.00	82276.30	3032.00	27.14	210	292	71.9178	49126	70032	70.15%	160.70	119	144.44	82	80.55	23	14.99	8
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 4	NaN	1	66.882106	28.00	2.39	8	8.00	100.00	10606.43	328.00	32.34	22	44	50	5600	8600	65.12%	42.77	17	21.15	10	2.97	1	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 3	NaN	35	1443.885002	700.00	2.06	166	200.00	83.00	303528.33	11238.00	27.01	682	1038	65.7033	149180	238740	62.49%	672.91	384	535.55	242	202.34	63	33.09	11
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 4	Arizona State University	4	15.795099	7.00	2.26	1	1.00	100.00	838.52	22.00	38.11	1	3	33.3333	233	665	35.04%	10.57	5	2.35	1	0.00	0	2.88	1
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 4	Brigham Young University	2	null	null	null	null	null	null	35.50	1.00	35.50	null	null	null	null	85	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 5	El Paso Community College	2	null	null	null	null	null	null	170.47	2.00	85.23	1	1	100	null	null	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	FOUNDEVER	TermBeforePeak	Wave 7	Marshall	1	2.240469	1.00	2.24	1	1.00	100.00	null	null	null	null	null	null	96	192	50.00%	0.00	0	2.24	1	0.00	0	0.00	0
PathEDU	New Hire	TS	FOUNDEVER	TermBeforePeak	Wave 6	Marshall	5	24.007262	21.00	1.14	10	11.00	90.91	null	null	null	null	null	null	1455	2439	59.66%	15.75	15	8.26	6	0.00	0	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 3	University of Utah	7	128.623797	60.00	2.14	8	10.00	80.00	40177.93	1426.00	28.18	112	160	70	12774	20810	61.38%	46.61	28	71.16	28	10.86	4	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 3	University Of Texas - El Paso	2	44.086011	20.00	2.20	10	10.00	100.00	2364.43	120.00	19.70	22	22	100	2872	5296	54.23%	14.80	8	24.18	10	5.10	2	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 4	University of Utah	2	null	null	null	null	null	null	62.50	2.00	31.25	null	null	null	null	null	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 4	University Of Arizona	1	null	null	null	null	null	null	null	null	null	null	null	null	null	87	null	null	null	null	null	null	null	null	null
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 5	El Paso Community College	8	252.823467	115.00	2.20	14	18.00	77.78	32387.43	1105.00	29.31	26	81	32.0988	9875	17371	56.85%	126.59	60	88.15	38	38.08	17	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 5	University Of Arizona	5	120.502489	45.00	2.68	4	7.00	57.14	12394.62	412.00	30.08	32	44	72.7273	3995	5525	72.31%	38.34	18	58.41	20	23.75	7	0.00	0
PathEDU	New Hire	TS	FOUNDEVER	TermAfterPeak	Wave 7	Marshall	6	208.349354	133.00	1.57	19	21.00	90.48	null	null	null	null	null	null	7652	14616	52.35%	111.45	84	71.15	40	21.88	7	3.88	2
PathEDU	New Hire	TS	EDUCATION AT WORK	TermBeforePeak	Wave 3	NaN	10	45.634698	21.00	2.17	10	10.00	100.00	2364.43	120.00	19.70	22	22	100	3152	5996	52.57%	16.35	9	24.18	10	5.10	2	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 4	Brigham Young University	2	79.525028	25.00	3.18	6	6.00	100.00	5675.45	175.00	32.43	13	15	86.6667	2744	4508	60.87%	40.60	15	17.16	6	21.76	4	0.00	0
PathEDU	New Hire	TS	EDUCATION AT WORK	TermAfterPeak	Wave 3	University Of Texas - El Paso	13	520.261744	241.00	2.16	56	68.00	82.35	102471.80	3760.00	27.25	162	264	61.3636	51734	87616	59.05%	265.82	142	164.83	67	83.50	30	6.11	2
