product_name,expert_partner_name,expert_role,proficiency_level,contact_type,hire_type,expert_tenure_category,reporting_period,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,90-120 days,26-Apr,0,0,0,0,8,9.19,0,0,494.55,13,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,60-90 days,26-Mar,16,36,25,34,0,0,0,0,16744.93332,595,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,< 30 days,26-Feb,1,1,1,1,0,0,0,0,106.916666,8,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,60-90 days,26-Mar,140,190,154,179,1250.38,1464.82,0,0,42365.16667,2115,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,60-90 days,26-Mar,-1,1,0,1,0,0,0,0,1913.566665,63,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,60-90 days,26-Apr,0,0,0,0,0,0,0,0,39.666666,2,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,60-90 days,26-Apr,1,1,1,1,0,0,0,0,701.666664,36,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,30-60 days,26-Feb,349,505,418,477,3500.47,4147.69,0,0,131268.2333,6778,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,30-60 days,26-Mar,19,21,20,20,154.94,185.9,0,0,4623.250009,237,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,30-60 days,26-Mar,6,8,6,7,0,0,0,0,3150.716668,115,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,30-60 days,26-Feb,5,12,9,11,0,0,0,0,3386.766668,104,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,30-60 days,26-Feb,24,41,32,39,302.82,358.85,0,0,12305.15,608,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,60-90 days,26-Mar,27,33,28,32,169.98,195.51,0,0,4952.883332,288,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,30-60 days,26-Mar,14,75,45,72,0,0,0,0,35620.91668,1210,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,30-60 days,26-Mar,248,343,285,326,2737.61,3248.15,0,0,93366.2667,4554,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,30-60 days,26-Feb,28,55,42,53,0,0,0,0,31017.46667,1047,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,90-120 days,26-Apr,21,27,24,26,178.92,213.15,0,0,5741.116668,344,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,60-90 days,26-Apr,1,1,1,1,12.57,13.65,0,0,550.466667,23,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,Re-Hire,90-120 days,26-Apr,-1,1,0,1,0,0,0,0,287.016667,11,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,< 30 days,26-Feb,7,11,7,10,42.77,51.23,0,0,1913.633332,91,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,< 30 days,26-Jan,0,0,0,0,136,169.17,0,0,10338.23333,359,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,< 30 days,26-Feb,107,170,133,163,1270.42,1544.6,0,0,61429.43334,2617,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,90-120 days,After Season,0,0,0,0,24.62,28.92,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,60-90 days,26-Apr,5,8,6,7,52.41,61.59,0,0,2091.183332,98,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,< 30 days,26-Feb,14,28,20,28,0,0,0,0,11597.85,412,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Chat,New Hire,90-120 days,26-Apr,-1,4,1,3,0,0,0,0,1646.700003,89,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,New Hire,< 30 days,Before Season,0,0,0,0,1.34,2.09,0,0,123.383334,7,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,90-120 days,After Season,0,0,0,0,0.69,0.71,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL1,Phone,Re-Hire,< 30 days,26-Jan,0,0,0,0,6.08,8.19,0,0,380.333334,19,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,New Hire,60-90 days,26-Mar,39,83,62,80,0,0,0,0,38456.98333,1428,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,90-120 days,26-Apr,73,113,86,105,1313.65,1586.21,0,0,51252.45,2552,0,0
