product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,proficiency_level_start,hire_type,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator,tnps_basic_numerator,tnps_basic_denominator,tnps_deluxe_numerator,tnps_deluxe_denominator,tnps_premium_numerator,tnps_premium_denominator,aht_basic_numerator,aht_basic_denominator,aht_deluxe_numerator,aht_deluxe_denominator,aht_premium_numerator,aht_premium_denominator
TTL Assisted Consumer,10000002904,GPRIMICH,INTUIT,Tax Expert,OTHER,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,PL1,New Hire,4,4,1,1,40.58,46.85,4,10,1073.200001,109,21.642207,6,7.155326,3,0,0,14.486881,3,1,1,0,0,0,0,93.05,7,38.933334,6,79.166668,7
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,0,1,1,1,16.76,18.85,0,0,1050.9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.766667,1,321.6,8,687.416666,17
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,0,0,0,0,24.53,27.18,12,16,674.049998,64,80.263384,23,14.962338,6,16.511351,6,48.789695,11,0,0,0,0,0,0,19.083333,7,168.516666,12,325.05,18
TTL Assisted Consumer,10000115962,HRECIO,INTUIT,Tax Expert,OTHER,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,1,3,2,3,36.15,40.88,0,0,1744.916664,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120.333333,5,502.733332,15,823.199999,27
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,0,2,0,1,62.98,70.35,9,17,2277.650007,126,33.672634,13,26.797345,10,5.821227,2,1.054062,1,0,0,0,0,0,0,209.716667,21,119.733333,14,273.26667,18
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,6,8,7,8,32.62,41.1,0,0,3977.416669,185,0,0,0,0,0,0,0,0,2,2,0,0,4,6,219.866666,13,886.000001,50,1938.250001,76
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,6,10,2,2,152.8,179.03,53,109,8003.800015,443,475.754226,102,36.323432,20,131.608693,32,304.952544,49,0,0,2,2,3,5,297.083335,20,987.11667,55,1163.616669,60
TTL Assisted Consumer,10000137397,BYANG1,INTUIT,Tax Expert,OTHER,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,5,11,9,10,83.5,96.89,0,0,3111.583334,113,0,0,0,0,0,0,0,0,1,1,1,1,3,9,181.399999,3,838.116668,44,1989.533333,62
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,2,2,0,1,61.68,69.16,9,30,3087.866668,111,63.170641,21,20.030494,10,36.183376,8,6.956771,3,0,0,0,0,0,0,254.466666,9,476.9,15,356.833333,8
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,3,5,5,5,36.84,42.26,0,0,3198.650001,131,0,0,0,0,0,0,0,0,0,0,4,4,-1,1,247.45,13,1651.083334,57,675.733334,28
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,3,4,1,1,80.83,87.88,31,47,3896.383329,204,283.517384,45,98.736352,23,59.323551,13,98.436566,8,0,1,0,0,1,1,106.566667,12,386.816667,35,399.333333,19
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,1,1,0,1,12.36,13.05,0,0,936.8,28,0,0,0,0,0,0,0,0,1,1,0,0,0,0,26.416667,3,330.433333,9,494.15,11
