product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,proficiency_level_start,hire_type,new_returning_customer,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator,tnps_basic_numerator,tnps_basic_denominator,tnps_deluxe_numerator,tnps_deluxe_denominator,tnps_premium_numerator,tnps_premium_denominator,aht_basic_numerator,aht_basic_denominator,aht_deluxe_numerator,aht_deluxe_denominator,aht_premium_numerator,aht_premium_denominator
TTL Assisted Consumer,10000002904,GPRIMICH,INTUIT,Tax Expert,OTHER,OTHER,New Hire,Returning,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,1,1,0,0,0,0,2,3,443.416669,37,3.898063,2,1.872315,1,0,0,2.025748,1,1,1,0,0,0,0,93.05,7,18.416667,3,68.750001,5
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,40.58,46.85,0,0,33.066667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,3,3,1,1,0,0,2,7,596.716665,68,17.744144,4,5.283011,2,0,0,12.461133,2,0,0,0,0,0,0,0,0,20.516667,3,10.416667,2
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,New,0,1,1,1,0,0,0,0,383.233334,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.766667,1,105.65,1,248.816667,7
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,Returning,0,0,0,0,0,0,0,0,667.666666,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.95,7,438.599999,10
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,Unknown,0,0,0,0,16.76,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,Returning,0,0,0,0,0,0,9,10,484.083332,33,62.515967,15,10.212552,4,11.785397,4,40.518018,7,0,0,0,0,0,0,0.283333,1,164.516666,10,213.766667,13
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,New,0,0,0,0,0,0,3,6,189.966666,31,17.747417,8,4.749786,2,4.725954,2,8.271677,4,0,0,0,0,0,0,18.8,6,4,2,111.283333,5
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,PL2,Re-Hire,Unknown,0,0,0,0,24.53,27.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000115962,HRECIO,INTUIT,Tax Expert,OTHER,OTHER,New Hire,Returning,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,0,2,1,2,0,0,0,0,1065.799998,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88.133333,2,371.999999,11,601.316666,22
